branch,geom,direction,k_swing,signal_bar,signal_time,entry_bar,entry_time,entry,sl,tp,r_usd,invalidation,exit_bar,exit_time,exit,reason,gross_r,cost_r,net_r,mae_r,mfe_r,hold_bars,w3_class,ratio31,fib_ok,ret2,ret4,d1_close,d1_ema200,h4_bear,rsi_h1,atr_m15,kind,wyckoff,wyckoff_ratio
B02_LONG_EMA200_FIBOFF,G_BASE47,1,2.0,25605,2023-01-31 17:15:00,25606,2023-01-31 17:30:00,1896.0,1887.4643684558494,1904.5356315441506,8.535631544150647,1886.0,25612,2023-01-31 19:00:00,1904.5356315441506,TP,1.0,0.0937247579001028,0.9062752420998972,-0.702935684250771,1.0544035263761564,7,C,2.3333333333333335,False,0.8888888888888888,0.38095238095238093,1896.0,1787.8343222900241,False,46.48557732828707,3.4142526176602526,IMPULSE_W5,True,
B04_LONG_EXTW3_RSI,G_BASE47,1,2.0,25616,2023-01-31 20:00:00,25617,2023-01-31 20:15:00,1905.0,1897.2917190877126,1912.7082809122874,7.708280912287364,1886.0,25618,2023-01-31 20:30:00,1897.2917190877126,SL,-1.0,0.10378448957727555,-1.1037844895772755,-1.5567673436591332,0.12973061197159444,2,C,2.3333333333333335,False,0.8888888888888888,0.38095238095238093,1896.0,1787.8343222900241,False,63.530335223471496,3.083312364914935,IMPULSE_W5,True,
B04_LONG_EXTW3_RSI,G_BASE47,1,2.0,28301,2023-03-10 19:15:00,28302,2023-03-10 19:30:00,1858.0,1845.8125922172756,1870.1874077827244,12.18740778272445,1840.0,28314,2023-03-10 22:30:00,1870.1874077827244,TP,1.0,0.06564152232060319,0.9343584776793968,-0.49231141740452394,1.2307785435113099,13,C,3.5833333333333335,False,0.8333333333333334,0.3488372093023256,1810.0,1798.7618085347642,False,73.84685867664562,4.874963113089748,IMPULSE_W5,False,
B04_LONG_EXTW3_RSI,G_BASE47,1,2.0,28776,2023-03-17 18:00:00,28777,2023-03-17 18:15:00,1961.0,1938.7810203050597,1983.2189796949403,22.218979694940344,1936.0,28826,2023-03-20 06:30:00,1983.2189796949403,TP,1.0,0.03600525366077787,0.9639947463392221,-0.6750985061395851,1.080157609823336,50,C,1.9166666666666667,False,0.7916666666666666,0.32608695652173914,1908.0,1803.884467380973,False,72.78804058109614,8.887591877976122,IMPULSE_W5,True,
B04_LONG_EXTW3_RSI,G_BASE47,1,2.0,30403,2023-04-11 18:00:00,30404,2023-04-11 18:15:00,2021.0,2014.47558916505,2027.52441083495,6.524410834950004,2014.0,30423,2023-04-11 23:00:00,2027.52441083495,TP,1.0,0.12261643545108397,0.8773835645489161,-0.9196232658831297,1.3794348988246947,20,C,1.7333333333333334,False,0.8666666666666667,0.46153846153846156,2004.0,1833.041027231971,False,52.715926062022845,2.609764333980005,IMPULSE_W5,True,
B01_LONG_CORE,G_BASE47,1,2.0,33988,2023-06-02 02:15:00,33989,2023-06-02 02:30:00,1982.0,1978.4171418094943,1985.5828581905057,3.5828581905057035,1978.0,33994,2023-06-02 03:45:00,1985.5828581905057,TP,1.0,0.22328542115340708,0.7767145788465929,0.0,1.1164271057670354,6,B,1.3571428571428572,True,0.5714285714285714,0.42105263157894735,1981.0,1886.0046602219504,True,59.426826248000026,1.4331432762022984,IMPULSE_W5,False,
B04_LONG_EXTW3_RSI,G_BASE47,1,2.0,43577,2023-10-19 23:30:00,43578,2023-10-19 23:45:00,1962.0,1954.3513437331226,1969.6486562668774,7.648656266877424,1953.0,43623,2023-10-20 11:00:00,1969.6486562668774,TP,1.0,0.1045935353984212,0.8954064646015788,-0.784451515488159,1.307419192480265,46,C,3.0,False,0.875,0.375,1941.0,1898.0311464343922,False,71.91387543162402,3.059462506751005,IMPULSE_W5,False,
B04_LONG_EXTW3_RSI,G_BASE47,1,2.0,45716,2023-11-21 06:15:00,45717,2023-11-21 06:30:00,1982.0,1972.2365378541344,1991.7634621458656,9.76346214586556,1971.0,45720,2023-11-21 07:15:00,1972.2365378541344,SL,-1.0,0.08193814735470331,-1.0819381473547034,-1.0242268419337912,0.3072680525801374,4,C,1.7142857142857142,True,0.6428571428571429,0.3333333333333333,1961.0,1909.8436840917552,False,65.324284477797,3.9053848583462605,IMPULSE_W5,False,
B03_LONG_W3A_HV,G_BASE47,1,2.0,46238,2023-11-28 16:45:00,46239,2023-11-28 17:00:00,2022.0,2014.470109406037,2029.529890593963,7.529890593963046,2012.0,46248,2023-11-28 19:15:00,2029.529890593963,TP,1.0,0.10624324351291181,0.8937567564870882,-0.26560810878227953,1.1952364895202578,10,A,0.8235294117647058,False,0.29411764705882354,0.5,1997.0,1913.4743183073465,False,74.13262571734754,3.011956237585259,IMPULSE_W5,True,
B04_LONG_EXTW3_RSI,G_BASE47,1,2.0,47322,2023-12-13 23:45:00,47323,2023-12-14 00:00:00,2012.0,2000.6333594864486,2023.3666405135514,11.366640513551374,1997.0,47381,2023-12-14 14:30:00,2023.3666405135514,TP,1.0,0.07038139360932859,0.9296186063906714,-0.967744162128268,1.0557209041399287,59,C,2.35,True,0.4,0.2553191489361702,1964.0,1923.5797151046206,False,78.81632822150942,4.54665620542059,IMPULSE_W5,True,
