branch,geom,direction,k_swing,signal_bar,signal_time,entry_bar,entry_time,entry,sl,tp,r_usd,invalidation,exit_bar,exit_time,exit,reason,gross_r,cost_r,net_r,mae_r,mfe_r,hold_bars,w3_class,ratio31,fib_ok,ret2,ret4,d1_close,d1_ema200,h4_bear,rsi_h1,atr_m15,kind,wyckoff,wyckoff_ratio
B04_LONG_EXTW3_RSI,G_PROD,1,2.0,90245,2025-09-01 02:30:00,90246,2025-09-01 02:45:00,3485.28,3479.3850628993573,3494.1224056509645,5.894937100642892,3468.8,90246,2025-09-01 02:45:00,3494.1224056509645,TP,1.5,0.08821128896240296,1.411788711037597,-0.28668668912781886,1.77101126301433,1,C,2.061630218687831,False,0.8078197481775969,0.4320154291224603,3461.84,3114.8070340532954,False,76.42590906758011,5.8949371006427995,IMPULSE_W5,True,
B04_LONG_EXTW3_RSI,G_PROD,1,2.0,90261,2025-09-01 06:30:00,90262,2025-09-01 06:45:00,3501.04,3496.0350823500125,3508.5473764749813,5.004917649987419,3468.8,90263,2025-09-01 07:00:00,3496.0350823500125,SL,-1.0,0.10389781338386399,-1.103897813383864,-1.0030135061288372,0.19181134778560233,2,C,2.061630218687831,False,0.8078197481775969,0.4320154291224603,3461.84,3114.8070340532954,False,80.85200159997608,5.004917649987286,IMPULSE_W5,True,
B01_LONG_CORE,G_PROD,1,2.0,90766,2025-09-08 12:45:00,90767,2025-09-08 13:00:00,3629.18,3624.682686175794,3635.9259707363085,4.497313824205776,3617.09,90767,2025-09-08 13:00:00,3635.9259707363085,TP,1.5,0.11562457509663157,1.3843754249033684,-0.43581570613346554,1.6587679427324533,1,B,1.1999999999999973,True,0.5100303951367828,0.2662107396149888,3593.64,3136.3339557616305,False,74.45591800382681,4.497313824205595,IMPULSE_W5,True,
B04_LONG_EXTW3_RSI,G_PROD,1,2.0,91652,2025-09-19 18:15:00,91653,2025-09-19 18:30:00,3683.52,3680.1469694418242,3688.5795458372636,3.373030558175742,3672.0,91662,2025-09-19 20:45:00,3688.5795458372636,TP,1.5,0.1541640346956225,1.3458359653043774,-0.6967028491051901,1.9478032845197404,10,C,1.8923654568210104,False,0.8448060075093857,0.3634259259259213,3645.24,3181.1101225140865,False,66.18480701986833,3.373030558175947,IMPULSE_W5,False,
B04_LONG_EXTW3_RSI,G_PROD,1,2.0,92115,2025-09-26 14:00:00,92116,2025-09-26 14:15:00,3780.55,3775.0300534891726,3788.829919766242,5.5199465108275945,3762.64,92116,2025-09-26 14:15:00,3788.829919766242,TP,1.5000000000000413,0.09420381139201246,1.4057961886080288,0.0,1.7119731108740397,1,C,1.8377911993097031,False,0.6091458153580549,0.5830985915493067,3753.29,3208.6759141663874,False,62.4469716536943,5.519946510827512,IMPULSE_W5,False,
B01_LONG_CORE,G_PROD,1,2.0,92129,2025-09-26 17:30:00,92130,2025-09-26 17:45:00,3790.19,3784.9015424881954,3798.1226862677067,5.288457511804609,3777.94,92131,2025-09-26 18:00:00,3784.9015424881954,SL_FIRST,-1.0,0.09832734759413007,-1.09832734759413,-1.1061826604339462,1.6658921775082318,2,B,1.430985915492977,True,0.5830985915493067,0.49803149606298647,3753.29,3208.6759141663874,False,62.561193504692724,5.288457511804391,IMPULSE_W5,False,
B04_LONG_EXTW3_RSI,G_PROD,1,2.0,92200,2025-09-29 11:15:00,92201,2025-09-29 11:30:00,3834.62,3829.168131860608,3842.797802209088,5.4518681393919906,3812.02,92202,2025-09-29 11:45:00,3842.797802209088,TP,1.5,0.09538014983208894,1.404619850167911,-0.0018342336505737212,1.782875108399863,2,C,1.8152520740267903,True,0.6295469049138458,0.36878185972930333,3772.99,3214.2909796970703,False,65.69814973696651,5.451868139391765,IMPULSE_W5,True,
B03_LONG_W3A_HV,G_PROD,1,2.0,92354,2025-10-01 01:45:00,92355,2025-10-01 02:00:00,3879.22,3875.5686967936495,3884.6969548095253,3.6513032063503488,3867.9,92355,2025-10-01 02:00:00,3884.6969548095253,TP,1.5,0.1424149052030562,1.357585094796944,-0.0328649781237523,1.8650875085247491,1,A,0.6144772117962506,False,0.3730116175156382,0.24665503199534589,3875.76,3227.111936511069,False,61.04519919337124,3.6513032063503803,IMPULSE_W5,False,
B04_LONG_EXTW3_RSI,G_PROD,1,2.0,92496,2025-10-02 13:15:00,92497,2025-10-02 13:30:00,3896.2,3891.0996108883637,3903.850583667454,5.100389111636105,3881.55,92497,2025-10-02 13:30:00,3891.0996108883637,SL,-1.0,0.10195300566650183,-1.101953005666502,-1.9037763173494933,0.5489777228196608,1,C,1.9174122505162159,False,0.7116311080523281,0.5208183776022863,3870.01,3233.508932167675,False,59.25200384639168,5.100389111635958,IMPULSE_W5,False,
B04_LONG_EXTW3_RSI,G_PROD,1,2.0,92711,2025-10-06 19:00:00,92712,2025-10-06 19:15:00,3974.61,3969.08959903065,3982.8906014540253,5.5204009693502485,3958.64,92716,2025-10-06 20:15:00,3969.08959903065,SL,-1.0,0.09419605620806998,-1.09419605620807,-1.0071732163785845,0.3785956874516099,5,C,1.666009463722389,True,0.7732649842271305,0.4818934911242634,3883.56,3246.201717847878,False,74.42027141820844,5.520400969350157,IMPULSE_W5,False,
