branch,geom,direction,k_swing,signal_bar,signal_time,entry_bar,entry_time,entry,sl,tp,r_usd,invalidation,exit_bar,exit_time,exit,reason,gross_r,cost_r,net_r,mae_r,mfe_r,hold_bars,w3_class,ratio31,fib_ok,ret2,ret4,d1_close,d1_ema200,h4_bear,rsi_h1,atr_m15,kind
B04_LONG_EXTW3_RSI,G_PROD,1,2.0,6655,2022-04-29 07:45:00,6656,2022-04-29 08:00:00,1923.0,1919.7274842033294,1927.908773695006,3.272515796670632,1913.0,6657,2022-04-29 08:15:00,1919.7274842033294,SL,-1.0,0.15889915658437273,-1.1588991565843727,-1.5278765056189685,0.6111506022475874,2,C,2.2857142857142856,False,0.8571428571428571,0.375,1898.0,1864.742340153466,True,73.20815367461651,3.2725157966706013,IMPULSE_W5
B07_SHORT_H4_ALIGNED,G_PROD,-1,2.0,11197,2022-07-05 15:15:00,11198,2022-07-05 15:30:00,1768.0,1772.1840592586407,1761.7239111120389,4.184059258640673,1782.0,11199,2022-07-05 15:45:00,1772.1840592586407,SL,-1.0,0.12428122257736351,-1.1242812225773635,-1.9120188088825154,0.23900235111031443,2,C,3.076923076923077,False,0.8461538461538461,0.3,1815.0,1857.3433751361185,True,19.147073352016335,5.578745678187709,IMPULSE_W5
B07_SHORT_H4_ALIGNED,G_PROD,-1,2.0,11207,2022-07-05 17:45:00,11208,2022-07-05 18:00:00,1768.0,1771.3177661092236,1763.0233508361646,3.317766109223612,1782.0,11210,2022-07-05 18:30:00,1771.3177661092236,SL,-1.0,0.15673196448488794,-1.156731964484888,-1.8084457440563992,0.0,3,C,3.076923076923077,False,0.8461538461538461,0.3,1815.0,1857.3433751361185,True,19.478249271789693,4.423688145631582,IMPULSE_W5
B07_SHORT_H4_ALIGNED,G_PROD,-1,2.0,12293,2022-07-21 01:15:00,12294,2022-07-21 01:30:00,1690.0,1692.051849706486,1686.9222254402707,2.0518497064861094,1702.0,12317,2022-07-21 07:15:00,1686.9222254402707,TP,1.5000000000000555,0.25342986786811245,1.2465701321319431,-0.9747302610312016,1.9494605220624033,24,C,2.2,False,0.6,0.6363636363636364,1697.0,1842.5440843733918,True,34.41343312426969,2.735799608648139,IMPULSE_W5
B07_SHORT_H4_ALIGNED,G_PROD,-1,2.0,13185,2022-08-03 08:15:00,13186,2022-08-03 08:30:00,1761.0,1762.4085927223812,1758.8871109164284,1.4085927223811723,1769.0,13191,2022-08-03 09:45:00,1762.4085927223812,SL,-1.0,0.36916277625015687,-1.3691627762501568,-2.129785247597059,0.7099284158656862,6,C,2.642857142857143,False,0.8571428571428571,0.5405405405405406,1752.0,1833.6323963535795,True,47.760564857956275,1.8781236298414403,IMPULSE_W5
B06_SHORT_RSI_FIBOFF,G_PROD,-1,2.0,13418,2022-08-05 18:30:00,13419,2022-08-05 18:45:00,1766.0,1767.6149740870608,1763.5775388694087,1.614974087060773,1776.0,13422,2022-08-05 19:30:00,1767.6149740870608,SL,-1.0,0.3219865904761306,-1.3219865904761305,-1.2384099633697332,0.0,4,C,3.125,False,0.5,0.56,1788.0,1832.443120912802,False,35.143657326306254,2.153298782747683,IMPULSE_W5
B07_SHORT_H4_ALIGNED,G_PROD,-1,2.0,15518,2022-09-06 15:30:00,15519,2022-09-06 15:45:00,1696.0,1697.6275824220288,1693.5586263669568,1.6275824220288087,1703.0,15520,2022-09-06 16:00:00,1697.6275824220288,SL,-1.0,0.3194922683865136,-1.3194922683865136,-1.2288164168712061,0.0,2,B,1.3,True,0.5,0.46153846153846156,1708.0,1815.2988928175348,True,39.11520425979567,2.1701098960384795,IMPULSE_W5
B07_SHORT_H4_ALIGNED,G_PROD,-1,2.0,15524,2022-09-06 17:00:00,15525,2022-09-06 17:15:00,1690.0,1691.6276396358144,1687.5585405462784,1.6276396358143757,1703.0,15525,2022-09-06 17:15:00,1691.6276396358144,SL,-1.0,0.3194810377911585,-1.3194810377911586,-3.0719330556842164,0.0,1,B,1.3,True,0.5,0.46153846153846156,1708.0,1815.2988928175348,True,37.64695161297757,2.1701861810857395,IMPULSE_W5
B07_SHORT_H4_ALIGNED,G_PROD,-1,2.0,15540,2022-09-06 21:00:00,15541,2022-09-06 21:15:00,1687.0,1689.3368984892668,1683.4946522660998,2.336898489266787,1695.0,15544,2022-09-06 22:00:00,1689.3368984892668,SL,-1.0,0.2225171535641467,-1.2225171535641466,-2.5675056180478464,0.8558352060159488,4,B,1.0,True,0.46153846153846156,0.38461538461538464,1708.0,1815.2988928175348,True,33.57930064489389,3.1158646523556137,IMPULSE_W5
B07_SHORT_H4_ALIGNED,G_PROD,-1,2.0,16210,2022-09-15 20:30:00,16211,2022-09-15 20:45:00,1655.0,1656.9707321319318,1652.0439018021025,1.9707321319317543,1665.0,16212,2022-09-15 21:00:00,1652.0439018021025,TP,1.4999999999999423,0.26386132928694106,1.236138670713001,-0.5074256332441174,2.0297025329764695,2,C,3.75,False,0.875,0.4,1689.0,1807.6462763608945,True,21.17494806289669,2.6276428425757206,IMPULSE_W5
